"filename", "language", "Markdown", "PostCSS", "HTML", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\home\form.css", "PostCSS", 0, 141, 0, 0, 0, 9, 24, 174
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\home\index.css", "PostCSS", 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\home\layout.css", "PostCSS", 0, 52, 0, 0, 0, 4, 8, 64
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\home\modal.css", "PostCSS", 0, 71, 0, 0, 0, 2, 11, 84
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\home\responsive.css", "PostCSS", 0, 14, 0, 0, 0, 1, 3, 18
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\home\social.css", "PostCSS", 0, 46, 0, 0, 0, 1, 7, 54
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\medicamentos\cards.css", "PostCSS", 0, 133, 0, 0, 0, 3, 22, 158
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\medicamentos\controls.css", "PostCSS", 0, 34, 0, 0, 0, 1, 5, 40
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\medicamentos\form.css", "PostCSS", 0, 125, 0, 0, 0, 2, 18, 145
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\medicamentos\header.css", "PostCSS", 0, 115, 0, 0, 0, 1, 15, 131
